Site,Abbreviation,Depth,Site_ID,Lat,Long
Balingasay,B,20,B20,16.37922,119.84677
Arnedo,A,20,A20,16.40569,119.88147
Lucero,L,20,L20,16.46127,119.91599
Silaki,S,20,S20,16.46638,119.93444
